ensembl_id,log2FC,padj
ENSG00000135052,1.004,1.05411542311044e-32
ENSG00000172572,-0.564,2.95446250866527e-32
ENSG00000165434,-0.977,3.72748244004084e-32
ENSG00000163811,0.901,4.12377164408199e-32
ENSG00000134108,0.928,4.4917622244975e-32
ENSG00000146072,0.926,5.6951216478135e-32
ENSG00000116120,0.872,6.07006696806478e-32
ENSG00000172954,0.815,6.56652492047821e-32
ENSG00000179295,0.746,4.34674211076108e-31
ENSG00000069956,0.805,4.61628506734299e-31
ENSG00000211455,-0.880,7.14031105807533e-31
ENSG00000114978,0.778,1.28902502076193e-30
ENSG00000118900,-0.946,2.48623575147299e-30
ENSG00000070614,0.888,2.58160904331606e-30
ENSG00000197712,-1.149,3.16281779541125e-30
ENSG00000092470,-0.816,3.29600809750294e-30
ENSG00000086712,0.998,4.00556855369386e-30
ENSG00000058804,0.643,1.05939290966783e-29
ENSG00000165476,-0.769,1.27901489483413e-29
ENSG00000161057,1.007,1.34732783918967e-29
ENSG00000132002,-0.593,1.59977826091805e-29
ENSG00000102189,-0.917,2.42975679046497e-29
ENSG00000247556,-0.719,1.11630702599094e-28
ENSG00000115977,-0.846,1.21470825036942e-28
ENSG00000144810,-1.171,3.26235587772925e-28
ENSG00000084444,1.748,6.41520196594508e-28
ENSG00000185551,1.082,6.47104784859862e-28
ENSG00000124145,-0.690,8.45738583043215e-28
ENSG00000163739,-0.956,1.12983033295228e-27
ENSG00000037749,1.062,1.17878410882935e-27
ENSG00000125648,0.844,1.27770727211031e-27
ENSG00000186951,1.085,2.41357487587058e-27
ENSG00000108691,-0.723,5.18367887685001e-27
ENSG00000113328,0.873,5.64035037893834e-27
ENSG00000068697,0.861,6.79672889212287e-27
ENSG00000071054,-0.831,7.01118217428616e-27
ENSG00000141664,0.945,7.81971461822911e-27
ENSG00000074416,0.937,1.95514515936299e-26
ENSG00000058272,-0.717,3.00332708149504e-26
ENSG00000154127,1.214,3.59569342500612e-26
ENSG00000196642,-0.924,4.00517686359583e-26
ENSG00000185900,-1.169,4.05010278516681e-26
ENSG00000165832,-1.317,6.37956442229536e-26
ENSG00000188786,0.830,8.4651598837302e-26
ENSG00000128510,1.780,1.87889213652479e-25
ENSG00000165288,0.825,1.90793759399229e-25
ENSG00000134070,-0.695,2.36204773444272e-25
ENSG00000111300,0.834,2.8462027829751e-25
ENSG00000160049,0.846,3.058926436688e-25
ENSG00000084463,0.698,3.96618896839998e-25
ENSG00000136997,0.675,4.56082222450232e-25
ENSG00000100811,0.919,5.779488890648e-25
ENSG00000095139,0.612,5.779488890648e-25
ENSG00000147202,-0.982,7.79744168706353e-25
ENSG00000175595,0.947,8.8050456178915e-25
ENSG00000196935,0.817,9.22924962191894e-25
ENSG00000154639,0.891,1.19732185259801e-24
ENSG00000198954,1.171,1.60461872189676e-24
ENSG00000106692,0.841,1.60461872189676e-24
ENSG00000130985,0.549,6.0292550403566e-24
ENSG00000115008,-0.994,6.64221972534378e-24
ENSG00000120137,0.682,6.86222923894067e-24
ENSG00000112308,-0.621,6.95098726635202e-24
ENSG00000119125,0.702,7.78496243905888e-24
ENSG00000136485,-0.766,1.26058626229324e-23
ENSG00000126003,0.824,1.42379981753768e-23
ENSG00000048740,1.668,1.9107869624694e-23
ENSG00000167460,-0.518,1.9107869624694e-23
ENSG00000031081,-1.325,2.07221755687391e-23
ENSG00000112149,-0.900,2.48908709253578e-23
ENSG00000197077,0.665,2.70254490640817e-23
ENSG00000144228,-1.186,3.25735995071644e-23
ENSG00000087502,-0.746,4.55241317191182e-23
ENSG00000133740,1.683,4.69706423556184e-23
ENSG00000198843,1.195,5.05972629215361e-23
ENSG00000178691,-0.751,5.82220100088879e-23
ENSG00000176148,0.996,6.46629594036089e-23
ENSG00000189057,-0.881,1.60527798261899e-22
ENSG00000147649,-0.614,1.82099792813261e-22
ENSG00000130147,-0.862,2.27722627167107e-22
ENSG00000018510,0.606,6.0086366003455e-22
ENSG00000144369,1.835,1.03268211963193e-21
ENSG00000117899,1.054,1.52305723638547e-21
ENSG00000023171,-0.644,1.91124801246362e-21
ENSG00000170385,0.792,1.92927956784599e-21
ENSG00000115364,0.724,1.92927956784599e-21
ENSG00000136111,0.967,1.97417344776032e-21
ENSG00000115170,0.836,1.99621289233961e-21
ENSG00000111912,-0.644,3.17701494928442e-21
ENSG00000134001,0.563,3.27332221484881e-21
ENSG00000025800,-0.502,5.63502547763459e-21
ENSG00000241468,1.127,6.34553441571753e-21
ENSG00000151233,-0.997,6.58658128219044e-21
ENSG00000176018,-0.780,6.72279174126776e-21
ENSG00000179119,-0.807,6.94976115602537e-21
ENSG00000183864,-0.601,7.24029867736469e-21
ENSG00000114098,0.962,8.72163285178884e-21
ENSG00000114850,0.451,1.09290849549474e-20
ENSG00000110321,0.366,1.09290849549474e-20
ENSG00000134987,0.561,1.19862865300261e-20
ENSG00000145012,0.680,1.20418228448926e-20
ENSG00000075945,-1.161,1.54334681742816e-20
ENSG00000137941,-0.878,1.70603009382736e-20
ENSG00000155096,0.570,1.88380201464737e-20
ENSG00000088205,0.640,1.88380201464737e-20
ENSG00000128989,0.565,2.81451015696824e-20
ENSG00000164024,0.804,2.82998194301905e-20
ENSG00000173674,-0.854,2.89652619976974e-20
ENSG00000146674,1.139,3.146508126813e-20
ENSG00000146278,-0.486,3.81547010864263e-20
ENSG00000139146,1.476,4.08174994880255e-20
ENSG00000138386,-0.576,4.67949433562065e-20
ENSG00000129657,0.639,5.14066360380117e-20
ENSG00000144560,-0.874,5.41114331638455e-20
ENSG00000188064,0.736,5.47812765185603e-20
ENSG00000141384,1.549,6.04881728189725e-20
ENSG00000174238,0.684,6.58198254923411e-20
ENSG00000141027,-0.566,6.58198254923411e-20
ENSG00000171490,0.602,7.66361941717972e-20
ENSG00000136718,0.782,7.88095658147312e-20
ENSG00000179855,-0.868,9.23028953328228e-20
ENSG00000119396,-0.674,1.15451527414034e-19
ENSG00000280798,1.106,1.3811081246907e-19
ENSG00000167767,0.563,1.71798880420351e-19
ENSG00000156802,-0.581,1.79081591407619e-19
ENSG00000081320,-0.961,2.1061328947893e-19
ENSG00000136381,-0.705,2.28926791798256e-19
ENSG00000122592,2.278,2.5746453174624e-19
ENSG00000137094,-0.998,2.5792736253159e-19
ENSG00000198252,0.775,2.5792736253159e-19
ENSG00000144802,-0.691,4.25040490207941e-19
ENSG00000137547,1.027,5.36322134411975e-19
ENSG00000137075,0.713,6.15329600893747e-19
ENSG00000123213,0.658,6.42972667227359e-19
ENSG00000165417,-0.810,6.69445070212019e-19
ENSG00000197375,0.781,8.19532585609705e-19
ENSG00000082146,1.467,8.8582678977185e-19
ENSG00000260804,-1.701,9.34555536721046e-19
ENSG00000123146,-0.726,1.07339424165034e-18
ENSG00000131467,0.550,1.08531359172564e-18
ENSG00000139722,-1.044,1.12745581399273e-18
ENSG00000163820,0.818,1.15591284086803e-18
ENSG00000148468,1.491,1.28598751921705e-18
ENSG00000197930,0.755,1.28598751921705e-18
ENSG00000261373,1.630,1.41497242983943e-18
ENSG00000138439,1.198,2.90247155354035e-18
ENSG00000173065,0.788,3.03711430188465e-18
ENSG00000155090,-0.468,3.48373782913209e-18
ENSG00000138459,1.164,4.57943862615892e-18
ENSG00000101193,1.164,4.8671007290335e-18
ENSG00000113441,-0.579,5.12631550884253e-18
ENSG00000072364,0.505,5.39322189215325e-18
ENSG00000082213,0.722,5.63773651405329e-18
ENSG00000100311,-1.401,6.44010063281838e-18
ENSG00000169604,0.506,6.74272830289557e-18
ENSG00000103064,0.595,6.87575739619717e-18
ENSG00000198732,-0.788,7.30457801719759e-18
ENSG00000185215,-0.552,8.4731829653105e-18
ENSG00000169180,0.549,9.39984946650414e-18
ENSG00000160131,0.500,9.49281559649758e-18
ENSG00000124177,0.765,9.57275277424848e-18
ENSG00000228716,-0.561,1.01521980008921e-17
ENSG00000100138,0.669,1.02918573810756e-17
ENSG00000124207,0.460,1.05264818788549e-17
ENSG00000168040,1.089,1.17546637980929e-17
ENSG00000165671,0.559,1.22960771637669e-17
ENSG00000067533,0.961,1.26250067074711e-17
ENSG00000138442,0.635,1.34238941783447e-17
ENSG00000121579,0.461,1.52958938318767e-17
ENSG00000112996,0.492,1.5823921221189e-17
ENSG00000102931,-0.949,2.5050219612302e-17
ENSG00000107984,1.721,2.61331603906955e-17
ENSG00000142166,-0.581,2.66758036675959e-17
ENSG00000142871,0.660,2.78631895622045e-17
ENSG00000148677,1.437,2.97675601092396e-17
ENSG00000135378,-1.499,3.00925469724455e-17
ENSG00000130119,0.464,3.92623217647192e-17
ENSG00000171848,-0.510,4.22787718610942e-17
ENSG00000163597,0.585,5.41481025689561e-17
ENSG00000065809,-0.692,5.86960807945273e-17
ENSG00000163734,-1.126,6.00922497447065e-17
ENSG00000117226,1.168,7.45474179986606e-17
ENSG00000070814,-0.692,7.64180910010827e-17
ENSG00000164442,0.835,7.71381820401459e-17
ENSG00000153071,0.712,7.78149187187811e-17
ENSG00000135318,-0.731,9.67978481667461e-17
ENSG00000105810,0.573,1.04759136678276e-16
ENSG00000139372,0.869,1.18664041944447e-16
ENSG00000116874,0.942,1.24952891780892e-16
ENSG00000132768,0.692,1.40828689042383e-16
ENSG00000109436,-0.807,1.43510116691491e-16
ENSG00000185621,-1.670,1.88047242582798e-16
ENSG00000185033,-0.587,1.91498570846928e-16
ENSG00000173744,0.545,1.92395508960683e-16
ENSG00000198492,0.541,1.98799589233357e-16
ENSG00000100558,-0.729,2.10103867473465e-16
ENSG00000120805,0.797,2.22106083153791e-16
ENSG00000084090,0.451,2.22106083153791e-16
ENSG00000165609,0.548,2.44239885421784e-16
ENSG00000164171,-0.667,2.65559990078695e-16
ENSG00000049246,-0.826,3.12145096017028e-16
ENSG00000114251,0.453,3.12145096017028e-16
ENSG00000146648,0.427,3.29913464177342e-16
ENSG00000116584,-0.625,3.30369888296282e-16
ENSG00000126524,0.639,3.84243007899186e-16
ENSG00000170153,0.677,3.8461774907933e-16
ENSG00000224470,0.557,3.90757704040819e-16
ENSG00000165152,0.906,3.925830488808e-16
ENSG00000174839,0.922,4.06450988586983e-16
ENSG00000145919,1.013,4.83569271950924e-16
ENSG00000111726,-1.057,6.42968870161875e-16
ENSG00000112984,-0.538,6.55562657345995e-16
ENSG00000052841,0.582,6.65795444228916e-16
ENSG00000162129,0.629,8.9682787472723e-16
ENSG00000094975,-0.652,9.28119925551032e-16
ENSG00000175348,1.121,9.51254070396456e-16
ENSG00000167721,0.553,1.09819174880941e-15
ENSG00000075568,-0.587,1.11545184007055e-15
ENSG00000167881,-0.724,1.15560918692212e-15
ENSG00000004700,-0.708,1.18461589223871e-15
ENSG00000148572,-1.123,1.29117085784417e-15
ENSG00000122565,0.719,1.32752103905854e-15
ENSG00000196865,0.593,1.34957634519134e-15
ENSG00000248323,-0.539,1.68993561189967e-15
ENSG00000080503,-0.652,1.83140927070539e-15
ENSG00000164237,0.821,2.01810204165231e-15
ENSG00000104343,0.987,2.06681328859567e-15
ENSG00000137693,-0.468,2.08701677795977e-15
ENSG00000115902,-0.644,2.25715780520047e-15
ENSG00000123908,0.572,2.29374448221064e-15
ENSG00000145819,-0.788,2.29374448221064e-15
ENSG00000135842,-0.555,2.43138808506053e-15
ENSG00000162607,-0.648,3.00771450553975e-15
ENSG00000109099,0.746,3.18183096570224e-15
ENSG00000176624,0.677,3.18183096570224e-15
ENSG00000104884,0.790,3.2980746362616e-15
ENSG00000112624,0.936,3.54667546372996e-15
ENSG00000113070,-0.969,3.75590927299534e-15
ENSG00000071242,0.597,3.88861615903575e-15
ENSG00000028203,-0.718,4.11814027107102e-15
ENSG00000134531,0.668,4.23908865154981e-15
ENSG00000173757,0.663,5.3753828265696e-15
ENSG00000205336,-0.484,5.46985371189073e-15
ENSG00000149212,0.721,5.55612425348311e-15
ENSG00000152558,0.492,5.65001604938014e-15
ENSG00000085719,0.584,5.79110508375199e-15
ENSG00000112200,0.573,6.38557343667601e-15
ENSG00000100418,0.577,6.45782635502533e-15
ENSG00000063978,0.507,7.14788213084595e-15
ENSG00000162073,-0.954,7.49083355246174e-15
ENSG00000117174,0.755,8.26710539800491e-15
ENSG00000109572,-0.710,8.80589881925067e-15
ENSG00000119285,0.487,1.12183440425229e-14
ENSG00000100462,0.506,1.16000833103691e-14
ENSG00000110851,0.718,1.22093059495831e-14
ENSG00000103479,0.828,1.4077520571727e-14
ENSG00000087274,-0.528,1.45107998811752e-14
ENSG00000186480,-0.757,1.47050713568843e-14
ENSG00000106772,0.628,1.51948660273545e-14
ENSG00000145779,-0.622,1.78570603064528e-14
ENSG00000121644,0.613,1.93558937026101e-14
ENSG00000013588,0.464,2.11304681551648e-14
ENSG00000107341,0.418,2.17795477644031e-14
ENSG00000081041,-0.906,2.37949596466343e-14
ENSG00000145391,0.510,2.4298896311925e-14
ENSG00000141424,-0.473,2.5673571751088e-14
ENSG00000265241,0.777,2.65213617550719e-14
ENSG00000150938,-0.449,2.73720808628976e-14
ENSG00000115380,0.531,2.90613416413727e-14
ENSG00000141101,0.590,2.96892289989913e-14
ENSG00000153246,-0.525,3.0522049023928e-14
ENSG00000196313,0.690,3.5219812366051e-14
ENSG00000125686,0.511,3.74224130777366e-14
ENSG00000166801,-0.721,4.12519822039226e-14
ENSG00000117525,0.632,5.02148170137185e-14
ENSG00000198042,0.552,5.02148170137185e-14
ENSG00000103342,0.377,5.28770925160012e-14
ENSG00000106052,-0.644,5.37849956184982e-14
ENSG00000180818,0.754,7.12947711064684e-14
ENSG00000163527,-0.418,7.38324391673386e-14
ENSG00000166260,0.817,7.64148337340465e-14
ENSG00000111450,-0.781,8.16966121692913e-14
ENSG00000132326,-0.715,8.27627342729084e-14
ENSG00000128951,-0.432,8.50996565127912e-14
ENSG00000133895,0.736,8.96181220852307e-14
ENSG00000168016,-0.710,9.11029071914335e-14
ENSG00000154122,0.414,1.10825813446779e-13
ENSG00000152492,-0.480,1.11216245954559e-13
ENSG00000122861,-1.643,1.23777229376169e-13
ENSG00000160796,0.653,1.27293284087746e-13
ENSG00000108349,0.502,1.2974416493178e-13
ENSG00000154380,0.553,1.46948039081549e-13
ENSG00000115935,-0.541,1.76534451349339e-13
ENSG00000197961,0.605,2.04930841257256e-13
ENSG00000148175,0.448,2.22323108785695e-13
ENSG00000129003,-0.540,2.3633632721831e-13
ENSG00000069974,-0.790,2.6253437076242e-13
ENSG00000117155,-0.818,2.6253437076242e-13
ENSG00000260196,1.236,2.76245421119642e-13
ENSG00000102531,-0.368,2.76245421119642e-13
ENSG00000106688,-0.730,2.76568037881985e-13
ENSG00000149289,-0.659,2.82062523187609e-13
ENSG00000213281,0.493,3.01496108013199e-13
ENSG00000130821,0.647,3.57830573959669e-13
ENSG00000106484,0.572,3.78312106017792e-13
ENSG00000138757,-0.505,4.04723105501536e-13
ENSG00000138180,0.729,4.39188716981284e-13
ENSG00000179151,0.616,4.43369183954852e-13
ENSG00000160014,-0.364,4.56709682116064e-13
ENSG00000171246,-0.585,4.58017472877157e-13
ENSG00000095209,0.923,4.58017472877157e-13
ENSG00000119661,-0.970,4.67789174178997e-13
ENSG00000170961,-0.985,4.71011575472274e-13
ENSG00000009335,-0.542,4.7225220882352e-13
ENSG00000148154,0.580,6.51539055704155e-13
ENSG00000109079,0.465,7.26175503773959e-13
ENSG00000170855,1.768,7.27624440691428e-13
ENSG00000153989,0.556,7.5153657180854e-13
ENSG00000072041,0.838,8.00220830376424e-13
ENSG00000130558,-0.767,8.62891002331861e-13
ENSG00000134107,-0.414,9.06677315871032e-13
ENSG00000171109,0.662,1.03093206934783e-12
ENSG00000124762,-0.518,1.10591427424248e-12
ENSG00000143674,0.796,1.11716153578915e-12
ENSG00000214357,-0.852,1.30236904496263e-12
ENSG00000115594,-0.650,1.39934571522323e-12
ENSG00000111412,0.630,1.42382341162634e-12
ENSG00000136603,-0.469,1.44173527904481e-12
ENSG00000144747,-0.738,1.44255186391937e-12
ENSG00000148143,0.738,1.63152201998616e-12
ENSG00000168078,-0.870,1.68395544608797e-12
ENSG00000165271,0.622,1.69620165971089e-12
ENSG00000172893,0.536,1.74348565648251e-12
ENSG00000247626,0.923,1.94888060194281e-12
ENSG00000124357,-0.923,1.96023370916708e-12
ENSG00000137502,0.701,1.99369360262421e-12
ENSG00000254726,1.146,2.0091794541171e-12
ENSG00000187098,0.700,2.04874016107291e-12
ENSG00000113368,-0.470,2.08194577933424e-12
ENSG00000171204,0.708,2.08819488069195e-12
ENSG00000107854,0.473,2.11325255137791e-12
ENSG00000146476,-0.844,2.35037918200546e-12
ENSG00000165424,-0.825,2.45890440489609e-12
ENSG00000146373,0.610,2.46296801629262e-12
ENSG00000100304,0.723,2.53979107360158e-12
ENSG00000119408,0.568,2.67235743510073e-12
ENSG00000090339,-0.824,2.81376942688423e-12
ENSG00000092203,0.503,2.83897291649863e-12
ENSG00000171320,-0.660,2.89603755759237e-12
ENSG00000077238,-0.841,2.93163156156275e-12
ENSG00000118503,-0.534,3.00408963303915e-12
ENSG00000106366,-0.493,3.00785055600638e-12
ENSG00000184743,0.559,3.46739785757677e-12
ENSG00000134982,0.476,3.7013413599008e-12
ENSG00000064666,-0.436,3.77372536921286e-12
ENSG00000068912,-0.599,4.11300695910858e-12
ENSG00000100354,0.478,4.32093126062516e-12
ENSG00000179134,0.486,4.64573404935001e-12
ENSG00000106785,0.563,4.87564172036388e-12
ENSG00000083799,-0.526,5.43900536371686e-12
ENSG00000075218,-0.643,5.52249526301865e-12
ENSG00000115232,-1.120,5.8695117260816e-12
ENSG00000152894,-0.556,5.8695117260816e-12
ENSG00000138759,0.513,5.88463264712519e-12
ENSG00000143878,0.444,5.95151365630943e-12
ENSG00000168685,-0.576,6.32542796735349e-12
ENSG00000136378,-1.170,6.33127335254893e-12
ENSG00000162409,0.578,6.45906363511054e-12
ENSG00000143476,-0.454,6.74861029691746e-12
ENSG00000105835,-0.487,6.85106535558481e-12
ENSG00000177469,0.664,7.07760771415004e-12
ENSG00000012048,-0.539,7.57908050330046e-12
ENSG00000173402,0.424,7.57908050330046e-12
ENSG00000112419,-0.509,7.5891282808901e-12
ENSG00000197601,0.642,8.06083282251687e-12
ENSG00000204116,0.883,8.33672539760173e-12
ENSG00000165699,-0.456,8.62008592426897e-12
ENSG00000170542,-0.934,8.87980535434437e-12
ENSG00000169607,-0.585,9.60210869670473e-12
ENSG00000155975,0.677,1.03134733548154e-11
ENSG00000165997,-0.547,1.03704905771793e-11
ENSG00000121481,-0.900,1.04582778815189e-11
ENSG00000165029,-0.760,1.10523280069448e-11
ENSG00000143924,0.471,1.15662579842545e-11
ENSG00000167258,0.382,1.17846748551003e-11
ENSG00000125630,0.598,1.24248031350732e-11
ENSG00000073712,0.548,1.26247302363701e-11
ENSG00000145632,0.482,1.32188696718678e-11
ENSG00000119446,0.621,1.33346071998533e-11
ENSG00000128274,-0.692,1.34301118479143e-11
ENSG00000176407,0.675,1.34712899579976e-11
ENSG00000182621,-0.897,1.42180135960809e-11
ENSG00000148411,0.707,1.4604854855518e-11
ENSG00000185658,0.561,1.53774620297174e-11
ENSG00000107263,-0.563,1.71927074121257e-11
ENSG00000113649,0.452,1.73098604764804e-11
ENSG00000177463,-0.501,1.7523628697118e-11
ENSG00000113356,0.937,1.84955429708833e-11
ENSG00000162695,0.501,1.98097668755594e-11
ENSG00000089876,-0.751,2.2287048765328e-11
ENSG00000145907,0.451,2.32733158115825e-11
ENSG00000163349,0.376,2.37781049672942e-11
ENSG00000196083,0.559,2.37907390953469e-11
ENSG00000135069,0.406,2.4557603839759e-11
ENSG00000104312,-0.818,2.49443563373576e-11
ENSG00000164338,0.555,2.66625496157817e-11
ENSG00000078140,0.432,2.73105257487589e-11
ENSG00000278053,0.759,2.92276207378262e-11
ENSG00000143384,-0.414,2.92276207378262e-11
ENSG00000003989,0.400,2.98326622603436e-11
ENSG00000130024,-0.584,2.98326622603436e-11
ENSG00000135250,-0.636,3.07189048436998e-11
ENSG00000146083,0.623,3.13414535008205e-11
ENSG00000140157,-0.516,3.23894615959767e-11
ENSG00000137992,0.647,3.33014471051492e-11
ENSG00000235750,-0.518,3.35189180109148e-11
ENSG00000187735,-0.625,3.45150201418146e-11
ENSG00000172575,1.020,3.50659779485996e-11
ENSG00000164023,-0.522,3.54091832243235e-11
ENSG00000134644,0.402,3.68232627550763e-11
ENSG00000099194,0.352,3.77221352813922e-11
ENSG00000126267,0.649,4.38002941940941e-11
ENSG00000100393,0.369,4.45215046357082e-11
ENSG00000101849,-0.545,4.57582380953347e-11
ENSG00000148110,-0.512,4.67170416490778e-11
ENSG00000165240,-0.698,4.8967999617829e-11
ENSG00000125741,0.622,4.96918716063593e-11
ENSG00000150764,-0.768,4.96918716063593e-11
ENSG00000065183,0.643,5.28943137196085e-11
ENSG00000111817,-0.579,5.4735765003722e-11
ENSG00000003436,-0.369,5.51276086277185e-11
ENSG00000123610,-1.164,5.56233266001059e-11
ENSG00000065413,-0.599,5.61147453745262e-11
ENSG00000106344,0.440,5.62026178509172e-11
ENSG00000056558,-1.218,5.86503199956692e-11
ENSG00000100906,-0.494,5.94721767426363e-11
ENSG00000092969,0.609,6.38520595191548e-11
ENSG00000146676,0.422,6.94163165862135e-11
ENSG00000082458,-0.838,7.21025085591836e-11
ENSG00000150782,0.675,7.21025085591836e-11
ENSG00000128283,0.434,7.65240027121119e-11
ENSG00000124767,0.421,7.6681621753208e-11
ENSG00000124571,0.505,7.70729481920456e-11
ENSG00000166224,0.525,8.65950816377551e-11
ENSG00000120868,-0.666,8.67551284556118e-11
ENSG00000163874,-0.479,9.17907955541537e-11
ENSG00000092199,0.339,9.42016276373601e-11
ENSG00000166825,-0.846,9.81179395618975e-11
ENSG00000134690,-0.565,9.81179395618975e-11
ENSG00000054654,-0.518,1.02194196609571e-10
ENSG00000141568,0.478,1.02642926183976e-10
ENSG00000176890,-0.705,1.07180186767771e-10
ENSG00000130066,-0.589,1.08705926329251e-10
ENSG00000123485,-0.527,1.10229505996715e-10
ENSG00000125257,0.522,1.19941171470592e-10
ENSG00000184371,-0.536,1.236187286175e-10
ENSG00000108960,-0.900,1.24905981591735e-10
ENSG00000169499,0.374,1.25836218012027e-10
ENSG00000172765,0.644,1.29442579328334e-10
ENSG00000136816,0.618,1.35880948177132e-10
ENSG00000138074,0.618,1.3591690506141e-10
ENSG00000170653,0.610,1.42942501710319e-10
ENSG00000086061,-0.544,1.42942501710319e-10
ENSG00000113360,0.326,1.44992178085341e-10
ENSG00000182827,0.634,1.44992178085341e-10
ENSG00000114573,-0.499,1.48235952426902e-10
ENSG00000101057,-0.697,1.48482820135315e-10
ENSG00000181704,0.449,1.52309648058735e-10
ENSG00000165675,-0.900,1.52911797485522e-10
ENSG00000137814,0.480,1.65985199424972e-10
ENSG00000041982,-0.658,1.73838468533475e-10
ENSG00000197965,0.388,1.88514201645272e-10
ENSG00000110422,0.379,1.88514201645272e-10
ENSG00000133028,0.632,1.90528582851815e-10
ENSG00000179431,0.871,2.03640404270034e-10
ENSG00000161980,1.043,2.15202639286731e-10
ENSG00000143319,0.490,2.24629121846625e-10
ENSG00000129680,0.585,2.41990863029993e-10
ENSG00000164951,0.507,2.48785005344338e-10
ENSG00000104331,0.451,2.55776065029653e-10
ENSG00000198668,-0.519,2.73026103307659e-10
ENSG00000137770,-0.386,2.73026103307659e-10
ENSG00000101346,0.536,2.88049453719529e-10
ENSG00000170871,-0.641,2.92564431116775e-10
ENSG00000170085,1.110,3.08931772434474e-10
ENSG00000144674,-0.624,3.10431266831375e-10
