ensembl_id,log2FC,padj,comp_name
ENSG00000197702,-0.38,6.27345551332441e-09,ENSG00000197702_amide
ENSG00000111412,-0.519,6.76171497207419e-09,ENSG00000111412_amide
ENSG00000123908,0.429,7.2909176993120306e-09,ENSG00000123908_amide
ENSG00000028528,-0.512,7.76336080334702e-09,ENSG00000028528_amide
ENSG00000064666,0.374,7.9589847742061e-09,ENSG00000064666_amide
ENSG00000167767,-0.375,9.311907350718951e-09,ENSG00000167767_amide
ENSG00000184432,0.695,9.311907350718951e-09,ENSG00000184432_amide
ENSG00000055332,-0.41,9.98201865134522e-09,ENSG00000055332_amide
ENSG00000170540,0.369,1.03825960343156e-08,ENSG00000170540_amide
ENSG00000169118,-0.513,1.08172423515424e-08,ENSG00000169118_amide
ENSG00000158417,0.569,1.28359029558899e-08,ENSG00000158417_amide
ENSG00000089876,0.652,1.6814641420489e-08,ENSG00000089876_amide
ENSG00000133056,-0.522,1.68519741109024e-08,ENSG00000133056_amide
ENSG00000144597,-0.511,1.76426802133651e-08,ENSG00000144597_amide
ENSG00000134987,-0.35,1.8013125915656e-08,ENSG00000134987_amide
ENSG00000165244,0.669,1.88824566188197e-08,ENSG00000165244_amide
ENSG00000078140,-0.372,1.94737419630813e-08,ENSG00000078140_amide
ENSG00000153147,0.476,2.49009864748729e-08,ENSG00000153147_amide
ENSG00000143321,-0.326,2.68445485659893e-08,ENSG00000143321_amide
ENSG00000143870,0.346,2.75887968848472e-08,ENSG00000143870_amide
ENSG00000011376,-0.629,2.8616176530295e-08,ENSG00000011376_amide
ENSG00000179119,0.505,3.59236842344898e-08,ENSG00000179119_amide
ENSG00000165699,0.38,3.59606755174664e-08,ENSG00000165699_amide
ENSG00000112378,0.432,3.60774543847222e-08,ENSG00000112378_amide
ENSG00000155090,0.312,3.64418406633647e-08,ENSG00000155090_amide
ENSG00000076108,0.348,3.91589910114864e-08,ENSG00000076108_amide
ENSG00000135250,0.54,4.7813782948005e-08,ENSG00000135250_amide
ENSG00000081320,0.619,5.10911908270494e-08,ENSG00000081320_amide
ENSG00000253719,-0.492,5.12419060665769e-08,ENSG00000253719_amide
ENSG00000122870,0.536,5.61295986451952e-08,ENSG00000122870_amide
ENSG00000113070,0.705,5.71635284334431e-08,ENSG00000113070_amide
ENSG00000123836,0.586,7.45505931064158e-08,ENSG00000123836_amide
ENSG00000198612,0.466,8.74771968066304e-08,ENSG00000198612_amide
ENSG00000111726,0.742,8.7791355093082e-08,ENSG00000111726_amide
ENSG00000104611,0.512,9.2920078518838e-08,ENSG00000104611_amide
ENSG00000017427,1.251,9.89174361983342e-08,ENSG00000017427_amide
ENSG00000163513,-0.421,1.00251213478099e-07,ENSG00000163513_amide
ENSG00000101882,0.925,1.03957770259549e-07,ENSG00000101882_amide
ENSG00000185621,1.157,1.06962490038091e-07,ENSG00000185621_amide
ENSG00000146802,0.761,1.10703357465081e-07,ENSG00000146802_amide
ENSG00000060237,-0.287,1.13828227050319e-07,ENSG00000060237_amide
ENSG00000140943,0.416,1.18898204519101e-07,ENSG00000140943_amide
ENSG00000113441,0.376,1.21236076183914e-07,ENSG00000113441_amide
ENSG00000152270,0.554,1.34623310761945e-07,ENSG00000152270_amide
ENSG00000131473,0.592,1.58588124902282e-07,ENSG00000131473_amide
ENSG00000131378,0.868,1.64047615733073e-07,ENSG00000131378_amide
ENSG00000139168,0.574,1.76470792141442e-07,ENSG00000139168_amide
ENSG00000104765,0.506,1.92743434487203e-07,ENSG00000104765_amide
ENSG00000120137,-0.37,2.07778153115406e-07,ENSG00000120137_amide
ENSG00000180628,-0.361,2.39130619253451e-07,ENSG00000180628_amide
ENSG00000180776,0.457,2.41587084336677e-07,ENSG00000180776_amide
ENSG00000113194,0.327,2.48604116242203e-07,ENSG00000113194_amide
ENSG00000136868,-0.289,2.58267098868076e-07,ENSG00000136868_amide
ENSG00000127920,0.58,2.86074772769699e-07,ENSG00000127920_amide
ENSG00000196678,-0.67,2.86337332782995e-07,ENSG00000196678_amide
ENSG00000140262,0.303,3.07753422988767e-07,ENSG00000140262_amide
ENSG00000155660,0.481,3.07753422988767e-07,ENSG00000155660_amide
ENSG00000172795,0.596,3.08051533446618e-07,ENSG00000172795_amide
ENSG00000185515,0.612,3.08051533446618e-07,ENSG00000185515_amide
ENSG00000186260,-0.406,3.0855624774884e-07,ENSG00000186260_amide
ENSG00000174032,1.274,3.14630654966394e-07,ENSG00000174032_amide
ENSG00000015532,0.651,3.30533183142841e-07,ENSG00000015532_amide
ENSG00000169242,0.603,3.31846619416657e-07,ENSG00000169242_amide
ENSG00000106366,0.379,3.42315048305851e-07,ENSG00000106366_amide
ENSG00000102531,0.269,3.98644328276405e-07,ENSG00000102531_amide
ENSG00000106052,0.46,3.98644328276405e-07,ENSG00000106052_amide
ENSG00000110172,-0.507,4.15093181533683e-07,ENSG00000110172_amide
ENSG00000170385,-0.446,4.20364352140207e-07,ENSG00000170385_amide
ENSG00000085449,-0.433,4.5325540027616e-07,ENSG00000085449_amide
ENSG00000137075,-0.422,4.54231648722539e-07,ENSG00000137075_amide
ENSG00000100335,-0.444,4.61710457078446e-07,ENSG00000100335_amide
ENSG00000151553,-0.428,5.16063951557088e-07,ENSG00000151553_amide
ENSG00000224531,-0.508,5.26515872819622e-07,ENSG00000224531_amide
ENSG00000104442,-0.475,5.71978429063531e-07,ENSG00000104442_amide
ENSG00000119487,0.489,6.03476078592687e-07,ENSG00000119487_amide
ENSG00000163349,-0.292,6.103284864143e-07,ENSG00000163349_amide
ENSG00000198015,-0.374,6.24434976667923e-07,ENSG00000198015_amide
ENSG00000134250,0.356,6.47673214567975e-07,ENSG00000134250_amide
ENSG00000164823,0.567,6.63894716011559e-07,ENSG00000164823_amide
ENSG00000066654,-0.438,6.92592593735582e-07,ENSG00000066654_amide
